sample	ABDHD5	ACVR1B	ALOX5AP	C3AR1	CD4	CKB	CPZ	CTNNBL1	CXCL16	DHX35	DSN1	GNG11	HERC5	IGFBP7	IGSF9	INPP5D	LDLR	LINC01816/LOC100133985	MILR1	MYO5A	NEXN	NOL4L/C20ORF112	PLCB1	PLCG2	PODN	RNF24	RPRD1B	SELPLG	SERPINF1	SLC15A3	STOM	TACC1	TARBP2	TMEM140	TNFSF13B	TPP1	TRPM2	TSPAN31	TTI1	UQCC1	WDPCP	ZNF738
S43	2.10	4.14	2.07	2.71	0.58	3.62	4.47	3.35	9.42	4.43	4.82	2.09	3.98	-0.02	4.15	3.55	3.24	9.81	2.73	2.81	4.08	3.21	4.59	4.76	6.79	4.69	2.41	2.67	0.58	5.10	1.62	1.94	8.72	5.19	2.12	2.08	5.52	3.19	5.23	2.71	5.92	4.17
S46	1.58	4.07	2.76	4.54	1.62	3.07	6.64	3.88	12.77	4.74	3.66	0.98	6.58	0.25	4.02	5.42	4.67	4.84	4.96	4.71	5.16	3.97	5.04	6.31	7.66	7.42	2.69	3.66	1.82	6.68	1.85	1.33	6.37	5.20	4.46	2.42	6.94	3.72	5.14	4.17	5.39	6.41
S48	1.58	1.80	3.14	4.70	2.36	-0.78	1.93	1.72	8.95	2.70	2.47	1.08	2.08	-0.44	2.57	4.96	2.17	7.01	3.53	3.28	3.15	0.75	4.25	4.45	5.14	2.93	0.80	3.93	1.32	4.76	0.92	0.36	7.23	2.34	3.81	1.30	7.07	2.09	2.90	1.04	3.43	2.29
S50	2.28	3.47	4.14	6.41	3.93	3.95	6.87	3.51	8.85	3.77	4.44	3.15	4.41	0.98	4.02	7.57	2.51	8.66	5.23	3.27	6.22	2.07	3.69	4.75	14.29	3.72	1.86	5.63	7.33	5.11	2.51	1.63	8.84	6.87	3.89	3.25	9.61	2.96	3.90	2.56	3.85	2.96
S52	1.79	2.89	0.88	2.01	0.00	0.69	2.95	1.92	6.76	2.96	2.30	2.03	2.72	-0.03	2.73	2.19	0.85	6.80	1.95	2.02	2.85	0.94	3.12	2.68	4.03	3.26	0.77	1.40	0.19	2.92	0.75	0.95	5.96	3.01	0.84	0.82	3.13	2.06	2.94	1.54	4.14	2.97
S54	2.13	2.28	4.96	6.41	4.01	3.21	6.49	1.32	17.60	2.06	2.66	3.56	5.51	0.99	1.97	6.41	2.41	6.35	6.53	4.46	4.01	0.87	1.86	2.91	7.34	2.43	0.79	5.86	0.50	3.15	3.45	3.53	6.24	7.25	6.90	2.72	9.37	3.19	2.62	1.35	3.57	1.87
S60	4.47	3.80	3.67	4.91	1.19	8.65	2.77	4.10	14.08	3.41	5.17	1.10	7.05	-0.57	7.44	3.44	4.59	11.57	2.59	3.87	2.27	3.96	4.97	4.07	3.76	5.68	2.56	3.99	0.85	4.47	2.05	2.19	10.41	7.39	3.76	3.06	6.07	5.03	5.24	2.33	4.55	4.55
R1	3.23	2.33	2.91	5.54	2.54	1.62	5.40	2.14	9.69	2.69	3.30	2.81	5.86	0.37	3.32	5.11	3.33	5.39	3.24	5.02	4.34	0.57	2.15	5.11	7.08	2.87	0.90	4.33	1.65	5.72	1.65	2.66	6.42	5.74	4.34	2.11	8.81	1.83	3.16	1.07	3.78	1.85
R3	3.51	2.37	6.52	8.38	4.37	0.22	6.03	1.89	12.75	2.51	2.47	4.34	4.43	1.55	3.06	5.59	5.07	7.40	7.58	5.00	5.73	0.39	2.03	6.72	8.66	2.52	0.32	6.55	4.01	7.27	2.96	2.98	5.39	5.96	5.63	2.62	11.02	1.45	2.69	0.65	3.98	1.17
R4	3.05	2.43	4.24	4.68	2.16	2.49	8.85	2.48	11.15	3.58	3.29	4.10	5.49	1.64	3.41	5.54	3.02	6.07	4.53	3.85	7.37	2.33	2.96	5.31	12.19	2.56	1.12	3.62	4.02	5.85	2.35	2.95	5.65	5.14	3.33	2.30	7.13	1.46	3.65	1.43	3.84	2.12
R5	4.10	3.84	3.00	6.02	3.19	0.85	6.93	3.65	12.82	4.38	4.74	3.12	6.65	0.90	3.50	7.09	6.19	7.75	5.31	6.07	6.53	2.34	3.16	6.35	8.54	3.24	2.18	3.82	2.51	6.94	2.32	2.95	5.83	5.33	4.87	2.94	9.61	1.42	4.82	2.45	4.76	3.08
R6	3.89	1.85	4.75	7.60	5.03	1.24	6.31	1.91	11.63	2.66	3.19	3.18	6.30	-0.18	2.43	8.29	3.58	5.08	6.55	6.17	4.08	0.87	2.79	7.26	7.16	3.68	0.85	6.22	1.33	7.87	1.76	3.57	6.06	6.67	6.08	1.94	10.49	1.90	3.20	1.19	4.04	1.98
R7	3.12	2.54	4.53	6.06	4.14	0.28	3.98	1.23	11.82	2.05	2.73	2.43	5.05	-0.03	3.07	6.21	2.78	5.74	4.98	3.91	3.78	0.17	1.47	4.47	5.13	2.14	-0.09	5.09	0.46	4.94	2.00	1.98	5.30	5.11	4.89	1.38	8.34	1.47	2.56	0.17	3.22	2.69
R24	1.29	1.67	1.65	3.09	1.43	-0.65	2.90	2.19	8.42	3.49	3.34	2.60	2.46	-0.40	2.86	3.47	3.50	5.83	1.79	2.60	2.70	0.35	2.52	3.71	4.14	2.87	0.52	2.10	0.28	4.22	0.56	0.79	6.39	1.61	1.96	0.45	6.09	0.71	3.34	1.29	4.00	3.27
R25	2.19	3.06	4.38	5.53	3.82	0.78	7.22	2.94	8.31	3.83	4.09	3.82	3.42	0.98	3.63	6.82	1.42	6.43	4.82	4.46	4.62	0.57	2.62	5.45	9.70	3.00	1.30	3.63	3.82	6.00	1.27	-0.16	6.15	3.88	2.04	1.93	9.09	3.48	3.92	1.74	4.41	2.13
R26	1.12	2.99	0.51	2.36	0.33	1.19	2.91	2.17	9.47	3.09	2.51	1.22	2.46	-0.85	3.61	2.82	2.17	6.20	2.48	2.34	2.80	0.73	3.24	2.89	4.47	2.88	0.50	1.10	-0.73	3.35	0.14	0.83	5.68	2.37	0.96	0.43	4.01	2.30	2.76	1.21	3.83	2.36
R27	1.55	1.90	0.61	3.67	1.19	-0.83	2.39	2.11	9.76	2.93	2.47	1.33	5.36	-1.03	2.14	3.69	3.55	6.16	3.03	3.30	2.57	0.43	1.30	4.03	3.80	1.97	0.34	2.59	-0.61	4.55	0.42	0.91	4.92	3.50	2.99	0.10	5.36	0.90	2.62	0.67	4.66	2.19
R28	3.06	3.59	0.81	3.26	0.62	2.23	3.75	2.73	8.09	3.78	3.32	1.64	4.61	-0.59	2.91	2.98	2.45	7.27	2.23	2.97	2.23	1.10	2.83	3.01	3.41	2.64	1.09	1.84	-0.31	3.44	0.91	1.20	6.91	3.35	2.33	0.74	4.89	1.99	3.62	2.09	4.70	3.71
R34	2.04	2.59	2.19	3.40	1.39	0.91	2.23	1.88	9.73	2.83	2.78	1.23	5.73	-0.57	2.66	4.02	2.53	7.13	3.25	2.91	1.55	0.37	1.37	3.72	3.17	2.50	0.74	2.24	-0.16	4.16	0.69	0.86	7.10	4.08	2.51	0.60	5.49	1.59	3.06	0.80	2.82	3.46
R35	2.49	2.70	4.04	6.20	3.42	0.14	5.60	2.39	8.79	3.03	2.88	3.16	4.82	0.86	4.24	6.22	1.63	7.51	4.79	4.73	4.84	0.41	2.05	6.46	7.76	3.51	1.14	4.69	1.57	7.00	1.80	3.54	5.76	5.61	4.73	2.17	8.21	1.93	3.55	0.86	3.88	1.53
R36	2.56	2.08	1.50	3.18	1.12	-0.27	1.79	1.48	7.38	2.80	3.11	2.53	3.23	-0.20	2.17	3.32	2.55	7.01	2.98	3.04	3.33	-0.01	2.40	3.76	5.24	2.01	0.54	1.84	0.60	4.22	1.19	1.43	5.94	2.51	1.83	0.81	4.51	1.47	2.97	0.98	3.71	2.31
R43	1.31	2.06	1.36	2.73	0.42	-0.29	0.93	1.51	8.24	2.10	2.20	1.18	2.83	-0.86	1.60	2.94	1.14	7.13	2.42	2.61	1.53	0.23	3.69	2.75	3.73	2.41	-0.01	1.45	-0.67	3.20	-0.10	0.10	6.06	1.02	1.33	0.28	4.44	1.15	2.66	0.70	3.35	2.62
R23	4.40	3.04	2.19	3.83	1.89	0.80	3.55	2.75	10.14	3.91	4.06	3.53	4.68	0.32	4.22	4.20	3.04	8.05	3.70	3.49	3.85	1.44	1.93	4.75	2.84	2.84	1.95	3.88	0.31	5.07	1.36	1.78	7.82	4.61	4.05	2.08	6.17	3.68	3.65	2.63	4.57	4.55
R39	2.56	1.14	2.19	3.10	1.24	0.74	2.94	1.75	10.37	2.69	3.59	1.66	3.29	-0.22	3.66	4.23	3.87	7.74	2.81	3.35	2.85	2.10	2.52	4.26	4.76	3.12	1.31	2.55	1.00	4.56	1.37	1.69	7.04	4.69	2.77	1.85	6.03	2.12	3.18	1.66	3.56	2.97
R40	2.16	1.60	1.66	2.47	0.47	0.03	3.25	0.88	9.16	2.01	2.25	3.09	2.74	-0.29	2.44	3.24	2.70	3.87	2.88	2.88	3.48	0.67	1.75	3.98	3.65	3.09	0.13	1.75	0.18	4.20	0.98	1.39	4.69	1.86	1.90	1.01	4.66	1.15	2.50	1.00	2.61	2.95
