symbol	W	shift	ci95	wPvalue	fcFLag	sensitive	resistant	log2FoldChange	pvalue	padj
STOM	187	-0.280045468716193	-0.760066581701512_0.200010286267658	0.23612045899291	0	9.37808452194489	8.31130672567162	-1.06057348668398	0.23612045899291	0.003135960737768
TACC1	161	-0.580003332165522	-1.28001767191838_0.0900687977121297	0.0717337714571844	0	8.45956441676084	7.08551296240064	-1.4076067858592	0.0717337714571844	0.002739131355811
TARBP2	296.5	0.430030072420318	-0.150075775987648_1.11003089221643	0.165672740118107	0	4.8759646945859	6.32829039071191	1.44120702438553	0.165672740118107	0.002996607547509
TMEM140	222	-0.279976057818569	-1.47000506425716_0.960014439829491	0.722273581711482	1	7.27001629070119	5.66623486662933	-1.61515062848782	0.722273581711482	2.02e-05
TNFSF13B	205	-0.380013090829303	-1.32004005095568_0.560069159458812	0.448311340635956	0	6.14423066487813	4.68150931025251	-1.51735793140096	0.448311340635956	0.004250149425753
TPP1	229	-0.0499564952648277	-0.730014462676547_0.500002280265207	0.849650015480667	0	10.3608433606181	9.41354001163199	-1.02620695256965	0.849650015480667	0.000149883877673
TRPM2	220	-0.220048807439983	-1.65005126256323_0.980046451535898	0.687066063370223	0	6.47182014991776	4.71175774147698	-1.81360924045641	0.687066063370223	0.003135960737768
TSPAN31	324.5	0.530033165885437	0.029939278290674_0.979967414485309	0.0403753322916556	0	7.64826109031756	8.63954477574571	1.04568884198912	0.0403753322916556	0.004603469169461
TTI1	331	0.589913758630378	0.0600035906357637_1.21003816433596	0.0275131471548561	0	5.57214917753994	6.482447429031	1.03317772044752	0.0275131471548561	0.003420640296291
UQCC1	346.5	0.540013272133441	0.149979334668253_0.930023288292535	0.0101332974957795	0	8.40051894631888	9.51531883694082	1.17494360624303	0.0101332974957795	0.000923469876033
WDPCP	301	0.250074632136267	-0.120059926415802_0.769963537128566	0.135469389399991	0	6.44654210693527	7.65671858434194	1.39211869371419	0.135469389399991	9.18e-05
ZNF738	287.5	0.320010219474038	-0.219967457521839_0.899990286090816	0.24080592040085	0	5.60806871416708	6.8710219225807	1.31051410866411	0.24080592040085	0.003135960737768
